DeploymentYear,total.spring,total.nov,total.dec,total.jan,total.feb,total.mar
ABMI-1332-NE_2015,5,0,0,0,0,26
ABMI-1332-NW_2015,78,0,0,0,0,26
ABMI-1332-SE_2015,78,0,0,0,0,26
ABMI-1332-SW_2015,78,0,0,0,0,26
ABMI-1333-NE_2015,78,0,0,0,0,29
ABMI-1333-NW_2015,78,0,0,0,0,29
ABMI-1333-SE_2015,78,0,0,0,0,29
ABMI-1333-SW_2015,78,0,0,0,0,29
ABMI-1334-NE_2015,78,0,0,0,0,27
ABMI-1334-NW_2015,78,0,0,0,0,27
ABMI-1334-SE_2015,78,0,0,0,0,27
ABMI-1334-SW_2015,40,0,0,0,0,27
ABMI-1335-NE_2017,78,0,0,14,28,31
ABMI-1335-NW_2017,78,0,0,14,28,31
ABMI-1335-SE_2017,78,0,0,14,28,31
ABMI-1335-SW_2017,78,0,0,14,28,31
ABMI-1336-NE_2017,78,0,0,13,28,31
ABMI-1336-NW_2017,78,0,0,13,28,31
ABMI-1336-SE_2017,5,0,0,13,28,31
ABMI-1336-SW_2017,78,0,0,13,28,31
ABMI-1337-NE_2017,78,0,0,12,28,31
ABMI-1337-NW_2017,78,0,0,12,28,31
ABMI-1337-SE_2017,78,0,0,12,28,31
ABMI-1337-SW_2017,78,0,0,12,28,31
ABMI-1338-NE_2018,78,0,0,22,28,31
ABMI-1338-SW_2018,78,0,0,22,28,31
ABMI-1339-NE_2018,78,0,0,12,28,31
ABMI-1339-SW_2018,78,0,0,12,28,31
ABMI-1340-NE_2018,78,0,0,22,28,31
ABMI-1340-SW_2018,78,0,0,22,28,31
ABMI-1341-NE_2016,78,0,0,0,1,31
ABMI-1341-NW_2016,78,0,0,0,0,31
ABMI-1341-SE_2016,78,0,0,0,0,31
ABMI-1341-SW_2016,78,0,0,0,0,31
ABMI-1342-NE_2016,78,0,0,0,3,31
ABMI-1342-NW_2016,78,0,0,0,3,31
ABMI-1342-SE_2016,78,0,0,0,3,31
ABMI-1342-SW_2016,78,0,0,0,3,31
ABMI-1343-NE_2016,78,0,0,0,1,31
ABMI-1343-NW_2016,78,0,0,0,1,31
ABMI-1343-SE_2016,78,0,0,0,1,31
ABMI-1343-SW_2016,78,0,0,0,1,31
ABMI-1346-NE_2018,78,30,31,31,28,31
ABMI-1346-NW_2018,78,30,31,31,28,31
ABMI-1346-SE_2018,78,30,31,31,28,31
ABMI-1346-SW_2018,78,30,31,31,28,31
ABMI-1356-NE_2017,78,0,0,0,0,29
ABMI-1356-NW_2017,78,0,0,0,0,29
ABMI-1356-SE_2017,78,0,0,0,0,29
ABMI-1356-SW_2017,78,0,0,0,0,29
ABMI-1357-NE_2017,78,0,0,0,0,2
ABMI-1357-NW_2017,78,0,0,0,0,29
ABMI-1357-SE_2017,78,0,0,0,0,2
ABMI-1357-SW_2017,78,0,0,0,0,28
ABMI-1358-NE_2017,78,0,0,0,0,27
ABMI-1358-NW_2017,78,0,0,0,0,27
ABMI-1358-SE_2017,78,0,0,0,0,27
ABMI-1358-SW_2017,78,0,0,0,0,27
ABMI-1360-NE_2018,78,0,0,21,28,31
ABMI-1360-SW_2018,78,0,0,21,28,31
ABMI-1361-NE_2018,78,0,12,31,28,31
ABMI-1361-SW_2018,78,0,12,31,28,31
ABMI-1362-NE_2016,78,0,0,0,0,10
ABMI-1362-NW_2016,78,0,0,0,0,27
ABMI-1362-SE_2016,78,0,0,0,0,10
